WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD
0x65df264782e5e4c950cc6a176f7e737fd93ac5df,6.833333,9,15,3574.91,8,135,62.717719298,71.950600134,0,0,0,0,0,0,4,0,8,0,0,0,0
0xf9012909838fe7705fbf1ccb283c3bc2c52ad350,1.666667,1,1,719.89,1,114,71.989,69.253573114,0,0,0,0,0,0,10,0,0,0,10,0,719.89
0xea59e271d8b10b5ed786d305b9dd62e785f10724,1.833333,1,1,945.92,1,95,85.992727273,146.873783482,0,0,0,0,0,0,11,0,0,0,11,0,945.92
0xb453ea94b73514429c3d81ea414e6de16fc9a36b,1.666667,1,1,750.99,1,83,75.099,152.752948544,0,0,0,0,0,0,10,0,0,0,10,0,750.99
0x0959717fc496e7bf7b21a135d0b8960280e42edb,11.166667,9,8,13103.19,5,84,29.183051225,75.880879847,0,0,0,0,0,0,1,0,0,0,0,0,0
0x432393d79b15b14c60c766e4fa0ad9f2215d929d,3.666667,6,4,578.48,2,56,4.017222222,8.954911784,0,0,0,0,0,0,1,0,0,0,1,0,21.18
0x88c43201a89ef56969cab042e2c5cd82431f79e9,11.333333,3,13,427912.74,8,124,2276.131595745,6800.953257094,13,0,0,0,0,4,0,0,8,0,0,0,0
0x4f20bedccbe952bd355c1ba7d196e20c2ef4429e,15.500000,3,8,3472.83,11,141,14.410082988,50.198243815,12,0,0,0,0,3,0,0,6,0,0,0,0
0x00de47ec78891827ff1868ecf2d0c78b72afe388,2.500000,3,7,15367.52,7,95,326.968510638,613.367482336,4,0,0,0,0,3,0,0,2,0,0,0,0
0x48ebf92de584687a7fdea7ff13efee8922e9dab3,3.500000,4,11,4210.41,11,64,93.564666667,99.918044719,3,0,0,0,0,2,1,0,3,0,1,0,292.87
0x6d45b46e409538b9bae2ad936031a4a87d8cfee4,4.166667,3,9,1466.72,11,125,40.742222222,76.681333456,1,0,0,0,0,5,0,0,3,0,0,0,0
0x7a42c943368b158cf42b90bd5f51b1db82ca9d27,6.166667,3,9,1411.5,11,125,39.208333333,69.512242827,1,0,0,0,0,8,0,0,3,0,0,0,0
0x9c1c4469d889ab7c84ab89362337d5e3f7c9b70d,11.000000,4,13,8962.78,12,67,54.319878788,153.29127049,12,0,0,0,0,5,0,0,5,0,0,0,0
0xefdcaad0d0240df8051b8dfe38a39868d14fe202,6.166667,3,7,4369.05,6,73,312.075,654.122834191,1,0,0,0,0,4,0,0,2,0,0,0,0
0x13e674a5b601874074e0fc883be4b1e511fe68bb,9.333333,4,9,802.43,10,164,3.767276995,9.138762108,13,0,0,0,0,2,0,0,6,0,0,0,0
0x5fefc4b611ef941bfaed6925e57073d1a94b4d90,5.833333,4,11,3938.42,13,92,34.54754386,51.342034206,5,0,0,0,0,3,0,0,2,0,0,0,0
0x6ff9485f546aaf27c68ba84658b5e3f82d9a6f0f,2.500000,4,10,1206.81,8,49,150.85125,56.820825724,1,0,0,0,0,2,1,0,2,0,0,0,0
0x9ed49870127a02b04c53ceb4ed1b0582e7b065ab,5.833333,3,8,25151.47,8,60,264.752315789,499.840285941,8,0,0,0,0,2,0,0,6,0,0,0,0
0x4c3e6704027ad67e735b0eda605008250d46cf12,1.666667,4,7,1158.61,8,28,39.952068966,54.939389951,1,0,0,0,0,1,0,0,3,0,0,0,0
0x8f70c704e5786abece5430e25ee1de4a27cddc11,6.000000,3,12,1995.84,13,85,60.48,58.457493856,1,0,0,0,0,3,0,0,2,0,0,0,0
0x40062b9a23955a9b374de9f058fe0232e92ea059,2.500000,1,14,1.99,4,59,1.99,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0x01b3d77b0453ff8d8252b2ecdde87d29b1bf55c3,2.000000,3,4,49.04,5,45,7.005714286,2.862590521,2,0,0,0,0,0,1,0,0,0,1,0,7.99
0xcf7bc189a7e82af17c69e1a70f5e97afff071f90,4.833333,3,8,1,5,43,0.3333333333,0.4714045208,0,0,0,0,0,2,0,0,1,0,0,0,0
0x69e7d13167cd1bb67b0f8be5da0da3decce3cd1d,6.166667,4,11,706,11,72,47.066666667,71.826148133,0,0,0,0,0,0,3,0,0,0,1,0,63
0xa76d8c7539e5667c9506e4ee0f69b6e2130c3056,4.333333,2,6,2479.93,5,83,99.1972,85.725764226,0,0,0,0,0,0,5,0,0,0,0,0,0
0x2ff8b7506beac38ee589f4721a5b6f8d46977faf,5.500000,1,23,2.11,2,39,0.1918181818,0.09446675046,11,0,0,0,0,0,0,0,0,0,0,0,0
0x104dfddd425c63689aa45f3c5244a2654400f0df,5.166667,4,10,76.5,7,57,4.026315789,4.77345865,0,0,0,0,0,0,1,0,2,0,0,0,0
0xdc1efc3f21d937a16950233ced63dcc7b08d804a,10.500000,3,5,1.04,4,168,0.008062015504,0.02509138397,1,0,0,1,0,0,1,0,0,0,0,0,0
0x76812cebc62d692572bbe63b4fe59ae463713047,3.000000,2,5,3640.02,6,116,227.50125,326.363827669,0,0,0,0,0,4,0,0,0,0,0,0,0
0xd2dfc2b96a2774588c7769b76e8209a01b705ef9,2.333333,2,5,25731.6,6,78,3216.45,1078.006494739,0,0,0,0,0,2,0,0,0,0,0,0,0
0x34fab536211ecfbf2cb34a4b9363e785b37e0194,6.666667,2,5,7653.88,5,54,239.18375,125.631046863,0,0,0,0,0,2,0,0,0,0,0,0,0
0xc2f222de20e137e45930d452790a1a44f6b21c16,8.000000,4,7,21112.54,5,21,390.972962963,682.433915999,0,0,0,0,0,1,1,0,0,0,0,0,0
0xbbfe460d2ff57b2b0834769af0eb71ca47c9b66b,1.666667,2,4,3250,4,139,1625,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0xe38b4269132c4ff3b8e23059c1676363710c5e5b,9.166667,1,1,2584.78,1,173,46.996,125.194841639,0,0,0,55,0,0,0,0,0,0,0,0,0
0xe0b24bfc71f15ef9ab5740c94b5ac3f5caed6302,7.666667,1,2,10231.68,2,180,227.370666667,220.387068913,0,0,0,0,0,0,45,0,0,0,45,0,10231.68
0xc7ef6a587f6675e17a4fa1cc6b4cda60885e3287,5.333333,4,7,266395.35,6,99,4757.059821429,6057.843263747,0,0,0,0,0,0,10,3,10,0,6,0,62606.53
0x486e203481408ce01d20e75228d84f9a489fb039,12.333333,2,2,3147.87,1,178,42.538783784,24.053886518,0,0,0,0,0,0,3,0,71,0,3,0,313.59
0xb44f2c5c9efd86fe7eaa86f7555a17201f8fc2d1,3.666667,1,1,161.07,1,161,7.321363636,8.451917639,0,0,0,0,0,0,22,0,0,0,22,0,161.07
0xf2915558acd107fb9bacb67371ff28d0e1a579f3,10.500000,1,7,13.99,7,90,6.995,0.015,0,1,0,0,0,0,0,1,0,0,0,0,0
0x6722cdec7ea5d2e40ce1b5912d71f285d1d69dce,2.500000,7,8,8268.95,7,162,201.681707317,255.643517946,3,0,0,0,0,0,0,0,1,0,0,0,0
0xdd684bb6dac4dbc8d98f392456cf50ad6dbe1d9f,4.500000,3,10,3607.73,8,112,128.8475,136.401135223,0,0,0,0,0,0,10,0,0,0,3,0,615.96
0x8a2032aa943518073ffcd549a8cf9c481c8a09c8,8.833333,1,1,6144.06,1,180,115.925660377,99.309287705,0,0,0,0,0,0,0,0,53,0,0,0,0
0x1832239aa9e7871b066ec42680cd38d701e47a9d,5.166667,3,14,50.08,6,77,1.517575758,1.614369246,0,0,2,0,0,0,13,0,0,0,9,0,24.71
0x9d951b3e7c4ce1f07485967784082441b499d09a,7.166667,1,1,1043.24,1,106,24.261395349,58.921343019,0,0,0,0,0,0,43,0,0,0,43,0,1043.24
0x99aaf9bac7632b85b7c62e0755b3dbca26723960,9.666667,6,11,19782.93,11,136,140.304468085,222.863872523,10,0,0,0,0,3,5,0,3,0,4,0,597.71
0x4ae44849bcaca15ea2815433d4cff21db0169aa9,2.666667,1,2,5454.19,2,122,545.419,576.0510942,0,0,0,0,0,0,10,0,0,0,10,0,5454.19
0x407f713ad95e99b982e497a68fbf4c0417dc79e6,12.333333,8,22,1341.23,12,171,14.118210526,15.755688629,0,0,0,0,0,0,18,0,14,0,18,0,287.32
0x2d3fbf77510564e5ae54373f18dd7dae5aaaca16,10.500000,1,1,871.92,1,147,13.84,7.224443736,0,0,0,0,0,0,63,0,0,0,63,0,871.92
0x8ad461cbcf5c8b4309923293803a2257e0dbf8eb,4.666667,4,10,306.41,7,98,10.213666667,21.472349271,0,0,0,0,0,0,7,0,0,0,6,0,219.72
0xf68b221e661ad8b4a8649505a0ecd4e9ce5cd847,9.333333,2,3,62924.44,2,149,1187.253584906,911.663679197,0,0,3,0,0,0,8,0,45,0,8,0,15022.77
0x09d6f43d5cb9b3b34574c2ae34245c7f1cfb137f,3.166667,2,9,46491.37,11,121,3576.259230769,4378.026310794,0,0,0,0,0,0,0,2,6,0,0,0,0
0x71efe436cfd751de9c2383a6f048fdc938dcc9d9,3.666667,1,1,1132.02,1,39,51.455454545,41.260641903,0,0,0,0,0,0,22,0,0,0,22,0,1132.02
0x09c626a34f31ee042daa575270f8208b52a4f466,14.333333,11,23,1743.73,17,82,7.681629956,14.42902082,16,0,0,0,0,0,20,0,3,0,3,0,7.89
0x389881583c0539994edf82c19b6346b5118f0881,1.833333,1,1,5078.15,1,49,461.65,278.427711265,0,0,0,0,0,0,11,0,0,0,11,0,5078.15
0xc512787dec17af64cfb7f4213285969696bf95c8,2.666667,4,5,1803.58,7,26,51.530857143,93.305352392,0,0,0,0,0,0,0,0,9,0,0,0,0
0x595eb4ce0c1355e4b6646a095524243d049f8aa9,2.000000,2,2,2935.63,1,34,244.635833333,355.825574321,0,0,0,0,0,0,3,0,9,0,3,0,441.36
0x0d64331ebae96f467afb29db0f86df50b28e7fdb,6.500000,1,1,1139.52,1,64,29.218461538,5.530811383,0,0,0,0,0,0,39,0,0,0,39,0,1139.52
0xc2a8f235e06601ce289d76cf678f3c3541f92836,14.833333,7,8,4891.66,7,59,23.293619048,35.021077058,15,0,0,0,0,0,3,0,6,0,0,0,0
0xecc948adf1f496b888319ff3feab12f353014f30,8.833333,7,11,1535.02,11,80,11.99234375,12.708803512,7,0,0,0,0,3,4,0,5,0,3,0,36.05
0x219524ca16f153b1f65be94cf71ed350884d9228,10.833333,5,19,424.36,15,165,9.02893617,7.521174148,0,0,0,1,0,0,2,0,26,0,0,0,0
