,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15
108,10.031222,-0.13808665,3.0174952,2.020663,5.9203196,4.901958,8.918669,5.6232424,3.7922769,6.3385005,3.2183712,8.062043,6.887435,4.969009,6.2625537
109,10.1039,-1.6697785,3.1195464,1.5228657,5.6442094,4.853007,9.18008,6.161456,4.277379,6.4450583,3.8617759,7.423788,7.0230937,5.248266,6.814377
110,9.769116,7.7812243,2.3423958,4.447429,7.983869,9.527848,9.438967,6.9292912,6.071391,6.381371,4.061742,6.8834243,6.9043813,4.7893767,6.4296136
111,9.989095,5.8597407,2.5713356,3.066613,6.1707935,5.42243,8.582597,4.6177335,3.807795,6.0962605,2.4215147,7.9822736,6.6367564,4.150673,5.197537
112,9.947564,6.9629183,2.4389486,3.1266806,6.593755,6.2575645,8.8811655,5.206186,4.479523,6.2231092,3.2775648,7.8377185,6.7144046,4.238477,5.813203
113,10.0143795,2.344474,2.9002023,2.6075234,5.939376,5.0135794,8.712432,4.8752527,3.2599692,6.162576,2.5513194,8.351975,6.73617,4.593789,5.6002407
114,9.946766,8.904689,2.0484772,-0.50790876,2.7745094,5.9231944,9.714815,5.9456964,7.1633325,6.6395154,4.9471617,5.3297825,7.209422,4.4760456,6.6996317
115,9.946859,6.421153,2.5573215,3.1688375,6.06947,5.9278445,8.756969,4.6799417,4.21298,6.1482296,2.8204799,7.4773874,6.733222,4.156961,5.4636536
116,9.879431,6.981542,2.0607708,0.7011349,9.433489,2.9662268,8.945116,9.400157,0.120633304,6.8004346,5.822389,5.007604,8.469211,3.0011685,6.469884
117,10.153113,7.7808046,2.2491994,2.808006,11.693661,1.1382228,8.24335,4.7219753,8.9508295,6.4692473,3.7793477,7.033538,6.873978,4.6335373,6.2183914
118,10.006657,6.5196323,2.4277163,2.7608929,6.547627,5.355995,8.668781,5.1230464,3.9973178,6.17028,2.7862284,8.320944,6.6197333,4.3069296,5.5454764
119,9.795106,7.827257,2.3556643,4.522181,8.065948,9.449456,9.419848,6.904709,6.0045185,6.364907,4.062034,7.037697,6.874915,4.734711,6.4190636
120,10.108599,7.745046,2.1276836,2.7109652,11.250374,1.5542424,8.310537,5.0528245,8.22609,6.4713435,3.7706714,7.0906134,6.753934,4.682455,6.1867447
121,10.112102,6.71293,2.1006052,-1.5106523,4.9247518,3.6688828,9.388605,8.512677,3.2957907,6.6983166,3.9986548,7.98103,7.2020645,7.297937,8.153856
122,10.113568,6.9087086,2.0787766,-1.6369394,4.835225,3.6367676,9.39216,8.543402,3.4695845,6.7053986,4.062844,7.91419,7.2083244,7.270927,8.141251
123,10.052264,-1.1874901,3.083308,1.5621947,5.9034553,4.8326807,9.096059,6.2540107,3.884355,6.441822,3.5830982,8.194632,7.0681324,5.6348515,6.9980936
124,10.048972,-1.6734196,3.14291,1.6097543,5.835958,4.862217,9.093214,6.1278877,4.0628753,6.456052,3.6183872,8.138469,7.0555124,5.472727,6.9087076
125,10.029206,-1.878991,3.1847863,1.7642468,5.807359,4.9089265,9.035063,5.8863134,4.1726565,6.4475217,3.5300622,8.1825285,7.003837,5.237063,6.6948357
126,10.038728,-0.07465212,3.0110607,1.906415,5.914855,4.8785596,8.9646015,5.789142,3.7767184,6.3549757,3.3014402,8.012382,6.9260006,5.114538,6.4090805
127,10.134187,6.9391565,2.0832195,-1.694404,4.7393923,3.6269047,9.351754,8.531735,3.5928466,6.7143555,4.038425,7.908523,7.211912,7.3297696,8.10435
128,9.976395,6.6253743,2.4873369,2.9410262,6.459733,5.594595,8.704603,4.9086256,4.0511775,6.179026,3.0262797,8.258776,6.6231494,4.120089,5.6206026
129,9.968477,8.897323,1.9161131,-1.6713234,2.3643107,5.24383,9.4388275,6.933485,8.204628,6.8786316,5.2381887,5.5736594,7.0793004,4.6227355,6.8992615
130,9.905869,7.2448764,2.0192573,0.5985283,9.291141,2.9573205,8.90215,9.339941,0.4383538,6.8186955,5.8661933,4.9561586,8.260252,3.0773118,6.5290647
131,9.978576,8.794496,1.9517982,-1.2704355,2.584352,5.2296166,9.359347,6.805999,7.825471,6.7736073,4.9913607,5.4391103,7.0586767,4.766226,6.7473125
132,10.018231,8.867311,1.9910362,-1.5484239,2.2870488,5.0914893,9.393998,6.1927795,8.181709,6.714317,4.612093,5.9146457,6.963394,4.081839,6.307657
