dim_0,dim_1,cluster_label
-1.1023996,4.217654,1
10.994946,0.08361738,3
2.487445,-0.82326066,1
8.254551,-3.6928437,3
9.886102,9.7162895,8
2.9429362,-0.2562559,1
4.007164,-2.731464,1
0.17483228,-0.7056964,1
9.063718,0.12478535,3
-1.0588963,4.2959747,1
-2.8090572,5.242905,1
10.134627,7.7514005,8
7.2370133,0.5857994,3
12.403915,-3.8788717,3
0.7250168,3.7445521,1
12.865291,-0.8117774,3
9.861209,0.83050525,3
1.4879451,-2.1693583,1
7.8550386,6.7596684,6
6.798542,-0.712024,3
9.898717,7.8503456,8
10.0587435,7.5736423,8
-0.07943372,-0.6304525,1
0.55590814,-1.317221,1
-2.9838214,3.2725394,1
-3.243739,4.1204853,1
-2.7539165,4.4100327,1
-2.3874993,4.4423614,1
1.608204,-0.6375463,1
8.337641,-3.0875757,3
12.246202,-2.8441925,3
13.543124,-2.9617813,3
12.910287,-3.3297613,3
10.18046,-2.2996979,3
10.32163,-1.9116058,3
13.789163,-0.6544332,3
13.02907,7.5429654,0
11.245006,-1.7242093,3
12.860831,-1.580122,3
10.746355,1.0809705,3
12.469655,-1.6972511,3
12.178957,-4.110338,3
12.093115,-0.15658148,3
13.5238,-0.59100085,3
7.6965456,-3.0115044,3
11.8949175,-4.1692104,3
12.501811,-0.12607351,3
0.9846972,-2.939172,1
11.918811,7.4624276,0
6.622564,5.5660424,6
10.546618,5.6250286,0
8.662486,0.35326427,3
8.196686,-3.598886,3
9.403217,-0.35834926,3
13.87198,0.37113217,3
11.886581,7.529471,0
13.444367,-1.1377225,3
7.0237546,-1.1922829,3
6.99271,7.737132,6
7.0295286,6.924841,6
5.950175,7.8715277,6
4.8551383,6.486335,6
6.7505183,6.034465,6
6.2429976,2.5636353,4
8.125873,8.039245,-1
9.987505,0.058723938,3
12.82332,7.643196,0
12.631696,6.332,0
5.564747,1.7365129,4
9.909851,-0.56403697,3
2.6539626,-3.0631995,1
-3.6793196,0.19961303,1
-2.7839918,0.23709573,1
2.6430025,-3.564347,1
-3.3372567,0.052799366,1
1.2456868,2.6699347,1
1.2933712,-0.7417767,1
8.662413,-1.0971618,3
10.090371,7.783352,8
10.553007,5.6463675,0
-2.7539375,0.15942737,1
-3.7707047,-0.89414364,1
-0.5322874,2.1432283,1
-2.4249134,0.9303273,1
-0.8521398,-2.650096,1
9.869142,-4.4077373,3
13.926482,0.0706515,3
10.283016,9.384208,8
0.039829418,4.032164,1
9.9900255,8.653277,8
5.8121367,-1.0109484,-1
7.233542,-2.8582628,3
-1.2187768,1.0083058,1
1.051834,-0.6350668,1
8.860612,-3.2593477,3
11.257291,6.4842243,0
-1.0575129,5.117272,1
-1.9608299,2.405112,1
-0.76804864,-2.6085687,1
0.6176293,2.9205363,1
9.330193,-0.6331697,3
9.996499,9.696439,8
3.449787,-2.921526,1
11.953158,7.4807587,0
7.4727244,0.391888,3
-2.1483235,3.1822674,1
8.444092,7.1562166,-1
11.190794,0.7339419,3
7.353401,0.04654326,3
9.801806,1.7648816,3
