dim_0,dim_1,cluster_label
13.571514,-2.332853,0
15.701218,4.6427116,0
1.7753257,-4.2153044,1
7.5560856,7.6969776,0
-3.059057,-1.2504963,1
15.85367,1.8482699,0
0.9747637,-1.8944373,1
11.69626,0.3723289,0
-0.51232487,-3.4462643,1
7.916185,7.188468,0
4.754762,-3.2283072,1
14.098375,4.3489985,0
-4.305658,4.4060025,1
11.054607,8.554658,0
-2.7980504,3.7630055,1
-1.4915568,11.87359,1
-1.4861575,9.922543,1
-4.4546876,2.6476712,1
9.342217,14.859871,0
9.421281,10.250885,0
10.58285,0.82584727,0
-1.9385461,3.1902182,1
6.3401957,10.460531,0
10.018966,0.53545225,0
11.534618,13.820552,0
7.5119433,10.914641,0
-5.445266,2.6860354,1
-4.5872207,4.697417,1
2.225836,-2.7333858,1
2.4890985,5.729553,1
3.666866,-2.3453698,1
-3.9691813,7.60971,1
13.128207,11.343814,0
6.6259966,10.0681095,0
0.97330254,10.188408,1
4.195274,0.03424723,1
6.887051,4.228161,0
2.2847972,-3.553194,1
3.5158699,-3.7004404,1
11.937633,11.245323,0
14.099215,11.718508,0
-4.3477163,2.0805721,1
-5.2464676,1.59699,1
-5.154137,1.930789,1
-4.665643,2.4144528,1
9.452187,14.70321,0
7.327254,2.5876894,0
13.558303,-2.243322,0
14.880606,4.603274,0
14.198461,3.8056881,0
15.706274,-1.2906815,0
10.687878,0.9057201,0
11.213742,12.491644,0
0.64563036,9.96482,1
14.328916,8.164971,0
13.682273,6.9710383,0
8.129421,14.726898,0
14.011165,8.860776,0
15.017654,-0.27384517,0
8.667042,12.6572275,0
11.972369,12.571214,0
7.493878,0.3763211,0
15.771864,-1.2887055,0
9.578175,13.072341,0
8.056986,-0.03646351,0
-5.1429033,5.3987517,1
4.0607414,0.6693895,1
7.409835,-4.254401,1
7.80273,8.3638525,0
9.757249,2.1627965,0
8.575845,9.178875,0
0.7782281,10.313654,1
-1.9537333,9.779145,1
14.1567135,11.235625,0
7.265847,4.3376594,0
1.1655706,2.4124908,1
3.1855962,0.67439294,1
1.0478318,2.8391285,1
-0.27592832,6.447142,1
6.9086,1.0898036,0
5.9275994,3.6909623,0
-1.485142,-1.825541,1
9.328852,12.366676,0
3.4153929,10.883264,1
0.15928961,5.2627096,1
1.8723814,5.2473335,1
7.6410522,11.517121,0
8.981529,-0.23216718,0
2.858155,-3.5127072,1
3.4181354,-2.9158018,1
12.556164,-0.60199153,0
2.2004156,-3.50542,1
3.4814093,-0.923406,1
9.59564,9.790896,0
7.853238,8.740185,0
2.6059492,-3.2615542,1
6.134586,-5.243028,1
1.8688879,-2.251629,1
2.6047764,-5.525263,1
-3.3401272,11.139838,1
-0.5327436,1.0156938,1
13.975346,-0.5733096,0
10.283115,1.0822612,0
1.1528327,9.217399,1
-1.2010666,2.912048,1
-3.513424,6.111847,1
-0.018098053,0.27954558,1
6.124226,2.9744515,0
8.986589,1.104049,0
0.35146835,8.676124,1
9.315317,10.326875,0
9.170113,1.2230052,0
-0.5206329,-2.6530561,1
-4.8224,5.198171,1
-3.2470558,4.071579,1
7.1290555,-4.086573,1
-0.056283675,6.4003024,1
9.426188,10.262478,0
-1.6539842,3.4075525,1
10.034706,-0.7662607,0
-1.9320515,9.841122,1
6.2597384,7.6835737,0
-1.3145335,-2.5034227,1
0.813169,-4.6552467,1
7.4765053,14.519833,0
2.686177,5.3848658,1
-3.3388016,11.132575,1
3.1180732,4.972736,1
5.1388893,-5.570216,1
-1.899034,-2.4888523,1
-1.5580118,-2.2055573,1
6.88467,11.111793,0
11.148338,2.2084625,0
12.428956,-0.6789577,0
-1.8714036,8.1844845,1
9.745787,2.2250326,0
10.702419,-1.9167694,0
-1.2241137,-2.9070702,1
-5.8722425,1.8741212,1
-2.1686206,-2.2718568,1
17.242153,1.3563375,0
-2.9825594,5.7995477,1
-5.6808186,3.1601288,1
11.163539,10.24084,0
11.297326,-1.4526043,0
15.556586,-0.11105038,0
11.936229,-2.1929283,0
10.293442,2.4031587,0
16.230446,-0.3763583,0
12.2439,8.314811,0
8.090511,11.360457,0
13.976534,5.898184,0
14.346868,7.508093,0
11.89045,10.795172,0
11.313771,11.893842,0
10.653289,10.537947,0
14.161461,9.771122,0
16.836096,2.8011403,0
8.011672,12.306999,0
8.154188,14.48704,0
10.737502,13.214179,0
6.338299,10.319027,0
6.3194084,10.998309,0
8.146591,11.553071,0
13.223886,12.027736,0
6.101841,10.518787,0
16.466507,2.0340161,0
10.194391,15.501512,0
3.0860786,11.957136,1
8.983209,8.351462,0
6.8265786,3.3237534,0
4.429866,3.1088388,1
14.245319,-0.32353216,0
14.628681,7.618928,0
9.293136,7.5344663,0
11.122904,11.204426,0
4.2467265,3.2844455,1
10.193972,15.488255,0
2.8978658,12.340577,1
7.386364,11.991027,0
6.288676,3.9322886,0
6.901003,12.793723,0
1.4504557,3.1257668,1
8.714121,3.9932795,0
-1.022526,6.350977,1
5.949764,4.0139585,0
4.17977,3.4670348,1
7.365172,5.280601,0
9.112572,0.7990172,0
2.7697904,12.50353,1
2.5450902,5.6259413,1
8.682208,2.3107142,0
-1.3340732,7.8932104,1
2.3024697,-2.601265,1
1.7777984,-4.0801706,1
1.0341845,6.5173388,1
2.5215394,-3.724244,1
8.781027,4.379795,0
11.237798,7.998919,0
8.931661,11.992892,0
2.6892705,-4.9716825,1
-4.5302334,-0.3852432,1
5.1898484,-2.7845817,1
1.2146913,-0.040007155,1
0.17368518,-0.13375309,1
4.625033,-5.436899,1
8.6443,13.778302,0
7.276941,4.513277,0
-2.4881744,1.7986256,1
14.860436,3.241834,0
-0.43899843,0.08256609,1
2.8116257,-4.86346,1
13.737579,10.203082,0
9.556137,13.677185,0
6.212475,7.1635895,0
0.78101784,-4.539767,1
13.495281,1.3749874,0
6.523624,2.177144,0
14.707165,6.979063,0
16.376568,3.4134889,0
10.387408,2.661765,0
-0.596998,4.289682,1
1.2452074,-0.67787516,1
7.0792985,-4.029633,1
1.0794235,11.494077,1
0.8588467,-3.5142083,1
13.636485,2.5262985,0
4.365747,1.9080008,1
9.627813,2.4541817,0
9.320529,12.378588,0
10.694472,4.035499,0
6.2490287,6.969487,0
-4.8354273,1.61053,1
-1.4738941,0.5165545,1
-5.098005,2.2881558,1
-4.5656543,-0.22061858,1
14.112049,9.587036,0
-2.1199872,8.488698,1
11.178579,0.7857951,0
6.81153,12.933715,0
16.703833,3.6603334,0
9.306654,9.695679,0
14.741585,6.9059553,0
16.774155,0.82523745,0
9.858046,10.02043,0
2.9713833,12.208928,1
12.998719,10.872238,0
7.3800807,12.317439,0
6.582642,-3.3828378,1
10.551701,12.9025135,0
17.04522,1.6390291,0
10.491082,12.256436,0
10.898129,14.4973,0
9.692021,15.581937,0
4.109248,3.5535307,1
11.724877,13.394204,0
5.898289,3.7083852,0
10.513082,13.943455,0
1.1375208,8.944917,1
7.404645,7.4975977,0
3.247204,-1.5338771,1
-2.5950034,4.491964,1
12.632104,-0.761279,0
-1.1543727,10.331135,1
8.1794195,9.072703,0
12.5410795,4.0024667,0
10.001936,8.643693,0
12.529425,-1.8617985,0
-2.2288923,6.260656,1
6.7574143,4.8058925,0
9.315406,0.37753943,0
4.218144,3.432211,1
11.112775,12.982804,0
6.8350687,4.8832245,0
-0.9488648,10.605568,1
7.576212,12.624049,0
-3.3642628,11.050098,1
7.154232,-2.2330794,-1
5.225205,0.72906214,1
6.695508,2.2238524,0
5.9218154,-1.0447874,1
11.1964245,12.979634,0
0.9746426,-1.1437157,1
11.497442,-0.5427014,0
-2.4333713,4.4464235,1
2.5994458,-5.5445404,1
11.057483,8.027782,0
1.0051531,-0.26127422,1
0.51099014,-4.6545506,1
-6.648331,1.9938016,1
-4.524721,-0.5788637,1
1.6158953,-2.5492346,1
11.983106,-0.440473,0
-0.51964986,-2.6079614,1
-0.10042554,4.8035774,1
-3.7273362,3.4719052,1
1.4317532,9.573578,1
-0.82887655,3.166226,1
-0.4484992,-2.9326825,1
1.1802545,6.911417,1
-3.6410062,6.7851753,1
3.3887525,10.9768,1
8.371807,14.221978,0
1.0094253,-2.8982627,1
-2.2329984,3.3360865,1
-3.6424103,4.2738276,1
7.5044003,11.723931,0
11.81485,12.178384,0
7.696757,0.5600372,0
3.521782,-2.3096764,1
6.3195267,11.723464,0
6.0384736,-1.1409128,1
-0.27853557,9.475485,1
-3.1987147,5.9490924,1
-2.680987,10.771199,1
2.4517796,12.84128,1
-0.6633702,-1.038993,1
-2.7917523,-1.6486498,1
11.067548,-1.4122844,0
-3.0373647,-1.570448,1
3.5215087,9.378062,-1
6.4760723,9.81899,0
14.8793,7.23456,0
10.846996,-1.6575348,0
8.104567,14.46182,0
15.470826,0.54844314,0
1.6417001,9.140437,1
11.808807,13.550384,0
8.747045,11.722598,0
13.928732,12.433329,0
10.354533,11.387695,0
14.156435,-2.11645,0
4.28469,3.2282727,1
13.007804,12.4216,0
9.333486,14.843137,0
11.097749,14.299469,0
-2.9969037,9.5460415,1
15.925361,0.47922564,0
10.168496,0.3163115,0
8.269925,3.8881946,0
12.651241,-0.79343355,0
7.270926,8.331184,0
6.3811193,8.554251,0
9.130451,13.943438,0
11.228306,1.1803902,0
16.238453,-0.77766085,0
