dim_0,dim_1,dim_2,cluster_label
73.0,0.6125303,10.1933155,0
74.0,9.752138,15.598606,0
75.0,4.3758826,-5.3764358,-1
76.0,1.3079972,-4.3198056,-1
77.0,3.3380892,-5.210049,-1
78.0,13.11545,5.960783,0
79.0,2.405353,-5.5483656,-1
80.0,-0.081686646,-3.032178,0
81.0,6.120862,6.1586733,0
82.0,13.571514,-2.332853,-1
83.0,15.701218,4.6427116,0
84.0,1.7753257,-4.2153044,0
85.0,7.5560856,7.6969776,0
86.0,-3.059057,-1.2504963,0
87.0,15.85367,1.8482699,0
88.0,0.9747637,-1.8944373,0
89.0,11.69626,0.3723289,0
90.0,-0.51232487,-3.4462643,0
91.0,7.916185,7.188468,0
92.0,4.754762,-3.2283072,0
93.0,14.098375,4.3489985,0
94.0,-4.305658,4.4060025,0
95.0,11.054607,8.554658,0
96.0,-2.7980504,3.7630055,0
97.0,-1.4915568,11.87359,0
98.0,-1.4861575,9.922543,0
99.0,-4.4546876,2.6476712,0
100.0,9.342217,14.859871,0
101.0,9.421281,10.250885,0
102.0,10.58285,0.82584727,0
103.0,-1.9385461,3.1902182,0
104.0,6.3401957,10.460531,0
105.0,10.018966,0.53545225,0
106.0,11.534618,13.820552,-1
107.0,7.5119433,10.914641,0
108.0,-5.445266,2.6860354,0
109.0,-4.5872207,4.697417,0
110.0,2.225836,-2.7333858,0
111.0,2.4890985,5.729553,0
112.0,3.666866,-2.3453698,0
113.0,-3.9691813,7.60971,0
114.0,13.128207,11.343814,0
115.0,6.6259966,10.0681095,0
116.0,0.97330254,10.188408,0
117.0,4.195274,0.03424723,0
118.0,6.887051,4.228161,0
119.0,2.2847972,-3.553194,-1
120.0,3.5158699,-3.7004404,0
121.0,11.937633,11.245323,0
122.0,14.099215,11.718508,0
123.0,-4.3477163,2.0805721,0
124.0,-5.2464676,1.59699,-1
125.0,-5.154137,1.930789,-1
126.0,-4.665643,2.4144528,-1
127.0,9.452187,14.70321,0
128.0,7.327254,2.5876894,0
129.0,13.558303,-2.243322,0
130.0,14.880606,4.603274,0
131.0,14.198461,3.8056881,0
132.0,15.706274,-1.2906815,0
133.0,10.687878,0.9057201,0
134.0,11.213742,12.491644,0
135.0,0.64563036,9.96482,0
136.0,14.328916,8.164971,0
137.0,13.682273,6.9710383,0
138.0,8.129421,14.726898,0
139.0,14.011165,8.860776,-1
140.0,15.017654,-0.27384517,-1
141.0,8.667042,12.6572275,0
142.0,11.972369,12.571214,0
143.0,7.493878,0.3763211,0
144.0,15.771864,-1.2887055,-1
145.0,9.578175,13.072341,0
146.0,8.056986,-0.03646351,0
147.0,-5.1429033,5.3987517,0
148.0,4.0607414,0.6693895,0
149.0,7.409835,-4.254401,0
150.0,7.80273,8.3638525,0
151.0,9.757249,2.1627965,0
152.0,8.575845,9.178875,0
153.0,0.7782281,10.313654,0
154.0,-1.9537333,9.779145,0
155.0,14.1567135,11.235625,0
156.0,7.265847,4.3376594,0
157.0,1.1655706,2.4124908,0
158.0,3.1855962,0.67439294,0
159.0,1.0478318,2.8391285,0
160.0,-0.27592832,6.447142,0
161.0,6.9086,1.0898036,0
162.0,5.9275994,3.6909623,0
163.0,-1.485142,-1.825541,0
