WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,cluster_label,DEX_EVENTS_MEDIAN,CEX_EVENTS_MEDIAN,BRIDGE_EVENTS_MEDIAN,DEFI_EVENTS_MEDIAN,DEX_EVENTS_WEIGHTED_DIST,CEX_EVENTS_WEIGHTED_DIST,BRIDGE_EVENTS_WEIGHTED_DIST,DEFI_EVENTS_WEIGHTED_DIST
0x062adb56de9cbe4eb668c71ed1662b7561ffdd51,43.666667,5,89,131550.65,12,176,739.048595506,1301.873747511,0,0,0,0,0,0,1,0,115,0,0,0,0.0,6,28.0,2.0,19.0,13.0,0.0,0.0,0.9473684210526315,0.0
0x9db098833d039a00058d885fe094db2101a966cf,3.5,1,9,223.7,5,29,44.74,34.314559009,0,0,0,0,0,0,0,0,5,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x9a7c351860bfa87f658031fc82c1012ee7554a74,10.0,3,11,26155.92,8,33,379.071304348,250.852112538,0,0,0,0,0,0,0,0,23,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0xdbf9330d79802f04b103caa08b64e449fe1227ca,2.833333,5,12,3030.32,8,83,151.516,98.281552867,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x3b6b1287e0c302240baeb81e00bdf6ea45bdfd83,4.333333,7,9,4049.71,9,122,43.545268817,49.869414411,0,0,0,0,0,0,0,0,8,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0xabe72294fb9eef5f3f5348322d7084806e590f6d,1.833333,4,9,657.8,8,111,59.8,0.4344065963,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0xde9261354d50f3b93ddeb5c7e690100dd3362e63,5.0,4,15,1331.12,8,117,35.029473684,35.000759687,0,0,0,0,0,0,0,0,5,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0xa8790a85557529015dc5233c070da6e19b89a584,3.5,1,9,412.66,5,15,68.776666667,62.209706013,0,0,0,0,0,0,0,0,6,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x9708398019c1eb8610d2f672308c03ca45749972,7.666667,5,24,28459.69,12,162,790.546944444,1900.215597782,0,0,0,0,0,0,9,0,1,0,2,0,5518.98,5,28.0,2.0,19.0,13.0,0.0,0.0,0.5263157894736842,0.0
0x32b2a43cbf046fc0911ee4c5d578e77cd2a7e922,4.166667,4,10,848.12,10,112,47.117777778,38.739541751,0,0,0,0,0,2,0,0,7,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.8461538461538461
0x98e5c9508e6c07e0f26197daa67f8d772a3986bf,4.833333,1,12,643.27,7,53,71.474444444,71.405042323,0,0,0,0,0,0,0,0,13,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x47fc7f702dcadcb2b68596c308d4899e824bb463,7.333333,3,9,12571.32,9,79,246.496470588,456.968421764,0,0,0,0,0,11,0,0,5,0,0,0,0.0,5,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.15384615384615385
0x3bf93ef9a0e2bc9d18b41b1270da462fa570d81b,3.5,4,9,120.92,8,31,10.076666667,7.820767581,0,0,0,0,0,0,0,0,6,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0xf4a90275fca66d887fccbda3243b76c5f6f7f7bf,1.5,3,7,6165.73,7,30,324.512105263,414.460971988,0,0,0,0,0,2,0,0,1,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.8461538461538461
0x48a07ffa9857b8580a6b9ab356cbd23334680e3e,16.333333,7,48,3178.18,11,113,57.785090909,68.609970595,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0xfd76d2a209875bcdb2a5c9353462e8f34446d6e1,15.666667,2,17,57975.83,10,144,1449.39575,2552.166321132,0,0,0,0,0,0,0,0,7,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x12d728c7f4d8a784211f4d29f03734bb856851ff,29.333333,5,14,41.23,10,112,0.2863194444,0.3482131901,30,0,6,0,0,0,0,0,0,0,0,0,0.0,7,28.0,2.0,19.0,13.0,-0.05952380952380952,-0.3333333333333333,0.0,0.0
0xd1fd12b187c17b51914b2f5eda5bce26fecde0de,5.833333,6,14,11124.47,3,57,34.76396875,84.446059345,0,0,0,0,0,0,1,0,0,0,1,0,62.84,6,28.0,2.0,19.0,13.0,0.0,0.0,0.9473684210526315,0.0
0x50aebfebcf000a86d9021600d53de5089aca67a0,54.166667,5,11,203.91,12,111,5.09775,3.415209721,0,0,0,0,0,0,0,0,12,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0xfc0d4f3a0283311a694a3c8219721f55a4bdf6de,107.666667,2,10,6.7,10,180,0.1675,0.2850592044,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x8946102a8b8c4ab58e6b482883591a4f54f352a3,22.0,10,20,854.16,17,140,3.991401869,10.595537674,0,0,0,1,0,0,0,0,4,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x67fc9756abf103b19cfbc151c1ab29d96a10a835,7.333333,4,24,56.83,9,163,3.788666667,2.706820685,0,0,0,0,0,0,0,1,2,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x178e00e09c40901f176b778e7b877295b67da0ba,7.333333,8,8,47.16,8,160,3.144,4.281212912,5,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.8214285714285714,0.0,0.0,0.0
0x6234a94e330468c34e548b0539bda715fccbf6dc,7.833333,2,43,35.19,3,35,7.038,3.489122526,0,0,3,0,0,0,1,0,0,0,1,0,8.75,7,28.0,2.0,19.0,13.0,0.0,-0.375,0.23684210526315788,0.0
0xb734fc21186130e8aae7b5e96e30364e45ab8f31,79.0,13,293,2921.58,10,57,3.511514423,3.078318037,0,0,4,0,0,0,0,0,2,0,0,0,0.0,3,28.0,2.0,19.0,13.0,0.0,-1.0,0.0,0.0
0x19df4ef814a64533f5e557a39fe48a5aa4f127e5,28.333333,2,26,26441.58,3,71,290.566813187,299.626973554,0,0,4,0,0,0,0,0,0,0,0,0,0.0,3,28.0,2.0,19.0,13.0,0.0,-1.0,0.0,0.0
0x074fc0014bf8743fa1a3a6ffecd38e6c501dc068,757.666667,2,4,187815.03,3,175,20.8266833,54.576590651,0,0,0,0,0,0,23,0,0,0,6,0,431.75,2,28.0,2.0,19.0,13.0,0.0,0.0,-0.21052631578947367,0.0
0x7d9d8405e4aa4e4f1553cc60f4d5a2bcc1017462,45.666667,4,10,200.36,14,179,2.821971831,7.309847038,0,7,0,0,0,0,0,244,0,0,0,0,0.0,1,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0xf32789a479bad995147b8571bdeb60a05368f9e8,80.833333,4,36,78292.1,16,177,73.170186916,104.746555747,40,0,0,0,0,23,0,0,7,0,0,0,0.0,9,28.0,2.0,19.0,13.0,-0.27210884353741494,0.0,0.0,-0.28083028083028083
0x8f806a85701fb44b25ed79ad701b390110d3340d,37.0,3,11,13467.81,11,159,21.411462639,28.84819055,33,0,0,0,0,4,0,0,3,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,-0.15926640926640928,0.0,0.0,0.07484407484407485
0xf0dfa94f827333ac79bb3f7b1cc360f9debdbaf1,112.0,6,58,2028299.66,14,172,1262.16531425,31503.577961094,76,0,0,0,0,5,2,0,6,0,0,0,0.0,10,28.0,2.0,19.0,13.0,-1.5697074010327021,0.0,0.02155992390615092,0.037071362372567196
0x9d2f26d1d13b99d5cbbaa7e9d1247868be0e746d,13.333333,7,11,81109.38,12,119,424.656439791,666.661175467,8,0,0,0,0,2,4,0,4,0,3,0,1452.69,10,28.0,2.0,19.0,13.0,0.40816326530612246,0.0,0.22556390977443608,0.12087912087912087
0xe20ff837dc5b9ba0559234ccc95b3661e939488b,52.166667,4,21,13838.12,12,161,19.166371191,56.471449947,32,0,0,0,0,5,8,0,3,0,7,0,2696.84,10,28.0,2.0,19.0,13.0,-0.10158730158730159,0.0,0.10292397660818714,0.06837606837606838
0x30f8ba73def376fe1cea06ac53c101252a96de61,224.0,6,18,269780.02,16,177,79.510763336,555.961585766,191,0,0,0,0,56,5,0,56,0,2,0,442.62,10,28.0,2.0,19.0,13.0,-4.412273242630385,0.0,0.014619883040935672,-0.735042735042735
0x472a2d356eed3d93bd2aa1c9a7a74de97c88f943,396.0,9,37,105782.34,19,151,13.784511337,120.123046412,351,0,0,0,0,18,0,0,16,0,0,0,0.0,9,28.0,2.0,19.0,13.0,-10.972996515679442,0.0,0.0,-0.01876172607879925
0xe480f015f8763a68fb44324dd7334d2ff1abd434,133.0,4,16,110037.82,13,151,50.017190909,331.313796537,99,0,0,0,0,6,0,0,5,0,0,0,0.0,9,28.0,2.0,19.0,13.0,-2.390816326530612,0.0,0.0,0.030769230769230767
0x049728998eb5d077cd90a62d27c207555c4890df,4.333333,3,7,1285.72,7,145,34.749189189,52.023377717,6,0,0,0,0,3,0,0,1,0,0,0,0.0,0,28.0,2.0,19.0,13.0,0.5238095238095237,0.0,0.0,0.2564102564102564
0x036f6dd9cbd3ae1d74c71fc155af79c241fc4974,62.5,6,12,613725.58,13,151,917.37754858,3601.350592543,16,0,0,0,0,8,0,0,14,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.2857142857142857,0.0,0.0,0.1282051282051282
0xd76657779130f1b837770d62fad21a4bc183f4f8,211.333333,6,15,13297.44,16,149,5.229036571,13.539460337,48,0,0,0,0,240,0,0,195,0,0,0,0.0,9,28.0,2.0,19.0,13.0,-0.11904761904761904,0.0,0.0,-14.551282051282051
0x06e383f71fc19aaf94b22ea197725950d1cd7345,99.0,9,24,34609.62,19,146,26.746228748,109.67399832,50,0,0,0,0,126,3,0,49,0,0,0,0.0,10,28.0,2.0,19.0,13.0,-0.21947326416600157,0.0,0.01411349603057924,-6.1186076493339066
0x0a7b55732d6ec12642034294673f2f55d52eace5,28.833333,6,76,3573.23,14,168,12.581795775,29.342806349,8,0,0,0,0,25,0,0,3,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.17316017316017318,0.0,0.0,-0.6993006993006994
