WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,cluster_label,DEX_EVENTS_MEDIAN,CEX_EVENTS_MEDIAN,BRIDGE_EVENTS_MEDIAN,DEFI_EVENTS_MEDIAN,DEX_EVENTS_ABS_DIST,CEX_EVENTS_ABS_DIST,BRIDGE_EVENTS_ABS_DIST,DEFI_EVENTS_ABS_DIST
0xbcf1f79d04d586933324685cf0be8cf2b77574cd,5.166667,4,5,1258.6,3,37,69.922222222,58.717403587,0,0,0,0,0,0,1,0,0,0,1,0,2.94,2,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,2.6026896854443837,1.0986122886681098
0xb688cd6b039081521a01e779833c3b20cf8d7949,4.833333,1,2,8534.52,2,163,275.307096774,337.68950099,0,0,0,0,0,0,28,0,0,0,28,0,8516.52,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-0.07145896398214502,1.0986122886681098
0xe06c0a01902e8da4db4c40b3dfcedc5bbc7488e3,2.0,2,3,66194.96,4,79,3152.140952381,3893.212222349,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x3157e8f20eef30abdad1b147af6d3ddac6114ec2,5.5,1,2,3336.41,3,115,104.2628125,108.178359644,0,0,0,0,0,0,3,0,0,0,2,0,61.32,4,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,1.9095425048844386,1.0986122886681098
0xe655eb5eec2a75318de44000544aa4e3766b2038,6.0,3,3,1291.8,3,154,30.041860465,90.356794683,0,0,0,0,0,1,34,0,0,0,34,0,1290.63,7,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-0.2595111954850844,0.4054651081081645
0x77415635fc9d18ff336eb89c16c962c73c71fa79,2.666667,1,1,991.02,1,119,61.93875,56.108578987,0,0,0,0,0,0,16,0,0,0,16,0,991.02,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.46262352194811296,1.0986122886681098
0x540afa4ad8e441d719b69b3acb9a52a3af037c43,2.333333,1,1,661.39,1,119,47.242142857,21.876675178,0,0,0,0,0,0,14,0,0,0,14,0,661.39,7,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.5877866649021191,1.0986122886681098
0x1eaa427532701048a160ae38c07d415484a85796,2.5,1,1,691.44,1,143,46.096,35.687897631,0,0,0,0,0,0,15,0,0,0,15,0,691.44,5,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.523248143764548,1.0986122886681098
0xbbc4bcffaa535c4960944bedb2c797b1e18465cb,8.0,1,1,0.34,1,61,0.007234042553,0.01348002899,0,0,0,0,0,0,48,0,0,0,47,0,0.34,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-0.5959834321062973,1.0986122886681098
0xb71216b3dcc8cc76fef0832ce828e8100b3ae20b,1.666667,1,1,9020.22,1,59,902.022,1506.76124212,0,0,0,0,0,0,10,0,0,0,10,0,9020.22,-1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.8979415932059585,1.0986122886681098
0x21756e08b1bf272743a9f56230effe2c6b25231f,1.666667,1,1,281.23,1,82,28.123,15.35970641,0,0,0,0,0,0,10,0,0,0,10,0,281.23,-1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.8979415932059585,1.0986122886681098
0x6d18d23bbe1a3358c5c6ad302fcc859e09f1f992,1.833333,1,1,660.99,1,99,60.09,60.320662373,0,0,0,0,0,0,11,0,0,0,11,0,660.99,5,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.8109302162163288,1.0986122886681098
0x3639b104754b74d5d1fe3308d7e0e3e2bad975af,2.0,1,1,364.31,1,83,30.359166667,17.153731109,0,0,0,0,0,0,12,0,0,0,12,0,364.31,7,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.7308875085427924,1.0986122886681098
0x457bc0f78e77e576ccb475e74cf18fa0e0bc3b3f,2.166667,3,4,119.14,4,95,14.8925,32.204432439,0,0,0,0,0,0,1,0,0,0,0,0,0.0,2,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,2.6026896854443837,1.0986122886681098
0x3307cc7cf5784809b1d2a28a019fcb9b923edf39,1.833333,3,4,10802.8,3,115,1350.35,854.249464486,0,0,0,0,0,0,1,0,4,0,0,0,0.0,2,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,2.6026896854443837,1.0986122886681098
0x6682a9e9210551554275c9811913a670510e8451,1.833333,4,5,249.48,5,42,24.948,12.59753849,3,0,0,0,0,0,2,0,0,0,1,0,32.21,7,6.0,0.0,26.0,2.0,0.5596157879354227,0.0,2.197224577336219,1.0986122886681098
0xe40301c9fc6a046ce3d0c7690fe6c61d9b461e1d,2.833333,1,2,44.93,2,113,6.418571429,2.583698504,7,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,6.0,0.0,26.0,2.0,-0.13353139262452252,0.0,3.295836866004329,1.0986122886681098
0x52287cb458a28b70905e60c3a3c79d509ef7c734,2.5,1,2,2.46,2,53,0.1757142857,0.07952666091,14,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,6.0,0.0,26.0,2.0,-0.7621400520468968,0.0,3.295836866004329,1.0986122886681098
0x8b393d982d8f9f276b5f2f10a465bf17a8d28f3f,2.5,2,5,2.21,3,116,1.105,0.945,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x441e2dfe19ce78e8f0fe490e8391b0a767a4a999,3.0,2,6,484.2,7,125,60.525,34.679285243,0,0,0,0,0,7,0,0,0,0,0,0,0.0,-1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,-0.980829253011726
0x15ce412f4905a7a3b7853d18bc6efa4a6ada40fb,2.166667,2,2,116.9,2,148,9.741666667,5.140040261,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x05b28857f4fa7731fbb29b3e23da4890f6301bce,10.0,1,2,122642.11,2,180,2151.615964912,1703.60801618,0,0,0,0,0,0,57,0,0,0,57,0,122642.11,7,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-0.76460614454209,1.0986122886681098
0xdcf581e48ccc551e8f8e59af22ff8f45f807768e,12.666667,1,1,29012.4,1,177,381.742105263,343.725367911,0,0,0,0,0,0,76,0,0,0,76,0,29012.4,4,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-1.047968555849355,1.0986122886681098
0x08b883e2b4659d1bb59a52853a74b8ae10bc14a1,10.833333,1,2,608.38,3,153,2.027933333,5.339954032,0,0,0,0,0,0,5,0,0,0,0,0,0.0,3,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,1.5040773967762742,1.0986122886681098
0x058095b2a5de3c2da9d0b31c3eda6a180b136ba6,14.5,1,1,9331.0,1,179,107.252873563,216.74995315,0,0,0,0,0,0,0,0,87,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x511ce804d27e3ca07200a0c1f466a065fb114713,2.0,3,6,636.4,4,86,212.133333333,205.036110207,0,0,0,0,0,0,3,0,0,0,0,0,0.0,4,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,1.9095425048844386,1.0986122886681098
0x80dc53fe82190668ce2d6ba9add2008e330bc963,5.833333,2,5,135.04,6,72,13.504,11.442013984,2,0,2,0,0,0,0,4,0,0,0,0,0.0,7,6.0,0.0,26.0,2.0,0.8472978603872034,-1.0986122886681098,3.295836866004329,1.0986122886681098
0xdee9e4fe4c2b2b013135ccd4968143090eb7a27b,5.666667,1,2,174.05,2,155,7.567391304,3.779847268,0,0,0,0,0,0,23,0,0,0,23,0,174.05,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.11778303565638337,1.0986122886681098
0x1d5e11cb1705716f02d484e8512bd772d8967595,4.333333,1,2,192.39,2,116,9.6195,9.506326564,0,0,0,0,0,0,20,0,0,0,20,0,192.39,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.2513144282809061,1.0986122886681098
0x279161c0083ac8986b2f249d305cfff68a0feb3e,3.666667,1,2,319.41,2,104,24.57,36.894533887,0,0,0,0,0,0,13,0,0,0,13,0,319.41,-1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.6567795363890707,1.0986122886681098
0x09fea61a40480017238216916e0b8f9661148f8c,5.333333,2,6,585.24,7,94,10.837777778,44.866564663,0,0,0,1,0,0,3,0,0,0,1,0,100.0,4,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,1.9095425048844386,1.0986122886681098
0xc67692164783008a4aaac5e0e7fc64c8f9edc9cb,2.333333,1,1,4530.53,1,81,323.609285714,165.77272029,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x5d76a6854151ce2d40e3b88f4a993e1719f6391b,2.0,1,1,11460.84,1,84,955.07,530.911564214,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x25f08400bd38cd0255b1e021447722566a48b276,2.0,1,1,0.03,1,16,0.003333333333,0.004714045208,0,0,0,0,0,0,12,0,0,0,9,0,0.03,7,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.7308875085427924,1.0986122886681098
0x5cb486da5313df7f4ec5f920fd73149c91b69424,3.0,1,1,134.49,1,35,7.471666667,1.838995046,0,0,0,0,0,0,18,0,0,0,18,0,134.49,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.35139788683788886,1.0986122886681098
0x7e205aa540b2d82127360fed0de9ee4ed63b57c1,2.833333,1,2,233.15,2,67,17.934615385,15.198787712,0,0,0,0,0,0,13,0,0,0,13,0,233.15,-1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.6567795363890707,1.0986122886681098
0x1386cf03e84d0387452c016c8149db2d109822f2,4.666667,1,1,1450.78,1,94,51.813571429,29.009308877,0,0,0,0,0,0,28,0,0,0,28,0,1450.78,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-0.07145896398214502,1.0986122886681098
0xe5fa3aff60dc5397e24ec6a2532d4ecc4631229e,4.666667,5,6,1394.03,6,31,24.035,23.256979838,14,0,1,0,0,0,2,0,3,0,0,0,0.0,7,6.0,0.0,26.0,2.0,-0.7621400520468968,-0.6931471805599453,2.197224577336219,1.0986122886681098
0xb7c2aec2380acbe515f3714cceef9ddeb55239f9,13.5,2,2,173251.47,1,92,2138.907037037,4007.355450092,0,0,0,0,0,0,20,0,61,0,20,0,47953.72,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.2513144282809061,1.0986122886681098
0xe99dd6b47b093a4af681b53652d1024877cb10fb,11.0,2,2,522.82,2,77,1.180180587,4.716419278,0,0,0,0,0,0,2,0,0,0,2,0,108.96,4,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,2.197224577336219,1.0986122886681098
0x4ff0011c00901a9e3c1cb310b15cc44732c9a2da,1.666667,1,1,8215.81,1,80,821.581,195.570449222,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x495c1860bd39d43b0a98f46dcc6e5348f157951c,3.166667,1,2,3069.11,2,160,767.2775,904.009380631,0,0,15,0,0,0,4,0,0,0,4,0,3069.11,7,6.0,0.0,26.0,2.0,1.9459101490553132,-2.772588722239781,1.6863989535702288,1.0986122886681098
0x3ca5ddf9620a21caed3d339c2c46cd0cc627152f,12.666667,2,6,8.9,5,107,2.966666667,2.781286673,0,1,0,0,0,0,1,0,0,0,1,0,1.0,2,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,2.6026896854443837,1.0986122886681098
0xbe802257fa3e64783032af03031d811f34820c81,2.5,1,1,626.22,1,106,41.748,22.601210351,0,0,0,0,0,0,15,0,0,0,15,0,626.22,5,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.523248143764548,1.0986122886681098
0x8adce2b7a885d3b6ad6eafeacf5aae4c2d736e7e,1.666667,1,1,884.16,1,104,88.416,83.550746998,0,0,0,0,0,0,10,0,0,0,10,0,884.16,-1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.8979415932059585,1.0986122886681098
0x1bd673373edc5727f8e5dd7edf5c967a449e8c67,2.166667,7,4,3021.85,4,96,36.407831325,36.020491626,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xb5ee49bf8733d8002c56c9396f08b39dae35b163,3.666667,1,2,1203.66,5,41,120.366,95.297934521,0,0,0,0,0,0,10,0,0,0,6,0,746.66,-1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.8979415932059585,1.0986122886681098
0xfdc13053cb1d197ff787e2db3f847c19cb25eb72,1.666667,3,6,1.71,6,30,0.1554545455,0.1159438451,0,3,0,0,0,0,0,4,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x1d23c387144f2c4c3c832acd8cb815f3ee460ee8,8.166667,2,6,13619.97,6,166,109.838467742,211.910413493,0,8,0,0,0,0,1,0,0,0,0,0,0.0,2,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,2.6026896854443837,1.0986122886681098
0x73bfdfd65659b93fc1a13358f8bf1fd6be8e0929,2.166667,1,1,3.1,1,138,0.2583333333,0.2399942129,13,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,6.0,0.0,26.0,2.0,-0.6931471805599452,0.0,3.295836866004329,1.0986122886681098
0x8f29a6cc914c44d5de1b358032bdc31431925ab4,2.166667,1,2,3.62,2,38,0.362,0.4486379387,10,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,6.0,0.0,26.0,2.0,-0.45198512374305744,0.0,3.295836866004329,1.0986122886681098
0x09119ba5eed46ac1438822eb09db38f0ef5f51ea,12.0,2,6,8.9,5,107,2.966666667,2.781286673,0,1,0,0,0,0,1,0,0,0,1,0,1.0,2,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,2.6026896854443837,1.0986122886681098
0x62e6930f752a15225046dbd92b41112c746ae634,9.333333,1,3,135.22,6,176,1.325686275,2.624317842,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
