WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV
0x05310b20a5e3e5d5c6692712cd0f3196c108ae1e,14,5,7,18958.18,10,81,197.481041667,609.93114247
0x60ad595c278ef0604b400f260c58c6eaf4cd42f5,81,29,1,41951.85,1,182,161.353269231,343.797476248
0x935f64b44b5c48a1539c4ada5161d27ace4205b5,171.5,4,478,39028.43,2,181,1258.981612903,3881.679216485
0xca99f4884dbbaf6b911ac2bf1d0db5ab34cb31cb,25.5,0,2,0,2,125,0,0
0x4e7dbdd6ef36eea470756d7101a56a48bfd1c7ca,25.333333,5,16,56.54,20,125,0.4067625899,0.8847681612
0x63fd06dae48f55a8a38a2339d6ca3cd335fc5b78,68.666667,11,32,69833.72,35,181,79.3565,208.765173571
0xa6dc9ec107e4685590f73c0af72103dee80cb4ea,197.5,13,78,346925.46,26,182,136.370070755,687.327832204
0x26fe5348220985e22514784c3665d52f18eb4961,571.5,5,38,1047109.82,12,182,102.991031769,283.757143518
0x118196037af0d2f4fe443d10669016ab3a161aef,4366.666667,0,26190,0,1,182,0,0
0x8082412a76fabac758373ca88b32ed5b94b1caff,455.333333,7,103,159685.58,19,182,21.091742174,176.963159651
0xaa01b0b6f2a845985ddd5e39ddbfbef78eee8c2b,1070.666667,28,6,261785.99,4677,182,1370.607277487,4174.382505059
0x2871e860ca0b5d26289807d8e8594897865694a5,5791.333333,48,1,31593450.63,34748,182,554.173840203,559.842539868
0x09b96417602ed6ac76651f7a8c4860e60e3aa6d0,5017.833333,36,2,2728807.93,2,182,499.507217646,3195.459443884
0xc2e8e977df1f645628d6d63574f6c9c4dae03362,2287.166667,120,5,1075737.67,4,182,854.438181096,3963.463935319
0xd37e626d04c46c6f47be79e3503119ff041a7649,107.666667,20,3,11433.95,4,181,142.924375,179.840363551
0xce9daf24f6f7b1c2df7513bfda28552a2994a73d,531.833333,2,2,2416297.05,1,182,757.222516453,3520.066236456
0x70389cb57ca00be166d705606c5eb9c16d6dad1d,414.666667,3,13,43736.48,11,180,4.995029694,22.666644113
0xeaefd1fc7b1cc3a03b64fa27164e0b859402408d,7248.166667,1,1,1192497.4,1,182,27.420667295,74.125471049
0x1732273eb283dc93bb52d641eee0bf5dcaa03b23,6557.833333,7,2,3988.3,12,182,0.2427302051,0.9639974414
0x0c9e809504babcfc07621838713f126ddb593e3a,2858.5,2,7,69.97,11,182,4.664666667,3.768408801
